Date,Open,High,Low,Close,Volume
2018-05-15 06:00:00,8733.86,8796.68,8707.28,8740.99,559.93
2018-05-15 07:00:00,8740.99,8766.0,8721.11,8739.0,273.58
2018-05-15 08:00:00,8739.0,8750.27,8660.53,8728.49,917.79
2018-05-15 09:00:00,8728.49,8754.4,8701.35,8708.32,182.62
2018-05-15 10:00:00,8708.32,8865.0,8695.11,8795.9,1260.69
2018-05-15 11:00:00,8795.9,8821.19,8740.54,8760.0,324.11
2018-05-15 12:00:00,8760.0,8798.6,8741.52,8760.0,324.2
2018-05-15 13:00:00,8760.0,8771.02,8700.0,8759.23,730.67
2018-05-15 14:00:00,8759.23,8761.7,8467.42,8517.77,1341.75
2018-05-15 15:00:00,8517.77,8553.67,8477.89,8520.3,792.07
2018-05-15 16:00:00,8520.3,8589.1,8500.78,8535.23,385.69
2018-05-15 17:00:00,8535.23,8579.48,8500.0,8546.34,475.08
2018-05-15 18:00:00,8546.34,8555.51,8400.0,8526.65,877.26
2018-05-15 19:00:00,8526.65,8583.6,8451.05,8555.6,670.49
2018-05-15 20:00:00,8555.6,8569.92,8461.38,8512.1,610.97
2018-05-15 21:00:00,8512.1,8555.54,8481.24,8492.28,168.99
2018-05-15 22:00:00,8492.28,8557.51,8420.37,8460.0,305.92
2018-05-15 23:00:00,8460.0,8505.0,8450.0,8474.99,136.05
2018-05-16 00:00:00,8474.99,8505.33,8430.94,8455.92,154.26
2018-05-16 01:00:00,8455.92,8478.29,8275.02,8326.28,1070.93
2018-05-16 02:00:00,8326.28,8339.81,8100.01,8133.43,1710.2
2018-05-16 03:00:00,8133.43,8217.44,8122.56,8164.79,492.8
2018-05-16 04:00:00,8164.79,8252.72,8157.01,8229.38,630.72
2018-05-16 05:00:00,8229.38,8248.63,8166.25,8220.4,620.93
2018-05-16 06:00:00,8220.4,8267.12,8176.91,8238.8,586.34
2018-05-16 07:00:00,8238.8,8255.0,8213.79,8232.99,304.52
2018-05-16 08:00:00,8232.99,8261.24,8200.0,8207.48,450.97
2018-05-16 09:00:00,8207.48,8263.93,8207.48,8243.45,182.36
2018-05-16 10:00:00,8243.45,8455.66,8237.1,8371.13,915.32
2018-05-16 11:00:00,8371.13,8439.44,8370.0,8373.0,319.29
2018-05-16 12:00:00,8373.0,8399.1,8356.4,8365.08,362.01
2018-05-16 13:00:00,8365.08,8381.73,8145.1,8179.99,1046.38
2018-05-16 14:00:00,8179.99,8229.91,8173.6,8225.0,357.91
2018-05-16 15:00:00,8225.0,8377.29,8211.8,8285.8,561.2
2018-05-16 16:00:00,8285.8,8329.1,8201.0,8273.4,322.53
2018-05-16 17:00:00,8273.4,8350.0,8250.9,8297.4,1073.71
2018-05-16 18:00:00,8297.4,8346.95,8266.46,8279.89,237.21
2018-05-16 19:00:00,8279.89,8377.29,8252.72,8252.72,251.2
2018-05-16 20:00:00,8252.72,8311.35,8232.14,8302.18,359.73
2018-05-16 21:00:00,8302.18,8319.96,8268.37,8295.85,117.23
2018-05-16 22:00:00,8295.85,8398.24,8277.25,8277.25,363.17
2018-05-16 23:00:00,8277.25,8372.58,8277.25,8346.59,214.18
2018-05-17 00:00:00,8346.59,8399.99,8314.78,8358.3,171.64
2018-05-17 01:00:00,8358.3,8386.53,8314.77,8375.1,258.58
2018-05-17 02:00:00,8375.1,8400.0,8350.07,8368.62,299.52
2018-05-17 03:00:00,8368.62,8500.0,8331.39,8366.72,718.98
2018-05-17 04:00:00,8366.72,8381.0,8314.77,8314.77,119.7
2018-05-17 05:00:00,8314.77,8371.3,8275.45,8363.7,405.25
2018-05-17 06:00:00,8363.7,8382.41,8335.49,8344.16,210.77
2018-05-17 07:00:00,8344.16,8351.0,8191.14,8247.4,714.82
2018-05-17 08:00:00,8247.4,8292.99,8227.7,8277.4,215.97
2018-05-17 09:00:00,8277.4,8325.8,8264.13,8291.67,164.2
2018-05-17 10:00:00,8291.67,8318.99,8249.93,8307.89,201.55
2018-05-17 11:00:00,8307.89,8324.9,8269.52,8298.9,203.41
2018-05-17 12:00:00,8298.9,8335.56,8219.44,8269.47,886.82
2018-05-17 13:00:00,8269.47,8309.4,8262.68,8300.98,95.49
2018-05-17 14:00:00,8300.98,8377.29,8286.65,8318.49,499.67
2018-05-17 15:00:00,8318.49,8330.41,8289.87,8306.39,172.77
2018-05-17 16:00:00,8306.39,8328.23,8232.14,8276.43,355.39
2018-05-17 17:00:00,8276.43,8284.36,8232.14,8257.69,255.27
2018-05-17 18:00:00,8257.69,8274.83,8110.02,8166.0,591.06
2018-05-17 19:00:00,8166.0,8200.0,8154.95,8176.33,133.1
2018-05-17 20:00:00,8176.33,8232.14,8168.6,8200.7,149.13
2018-05-17 21:00:00,8200.7,8213.97,8151.0,8155.41,87.55
2018-05-17 22:00:00,8155.41,8155.41,7980.0,8080.0,1061.54
2018-05-17 23:00:00,8080.0,8108.28,8005.95,8067.03,286.94
2018-05-18 00:00:00,8067.03,8068.92,7929.53,7958.08,524.42
2018-05-18 01:00:00,7958.08,8019.9,7931.03,7974.25,316.0
2018-05-18 02:00:00,7974.25,8026.66,7950.0,7998.5,441.43
2018-05-18 03:00:00,7998.5,8025.0,7980.58,7991.99,189.7
2018-05-18 04:00:00,7991.99,8104.69,7991.99,8022.7,844.94
2018-05-18 05:00:00,8022.7,8061.39,7992.75,8042.97,155.34
2018-05-18 06:00:00,8042.97,8045.99,7953.4,7965.67,257.56
2018-05-18 07:00:00,7965.67,8170.71,7965.67,8088.95,610.69
2018-05-18 08:00:00,8088.95,8144.16,8085.94,8122.19,217.97
2018-05-18 09:00:00,8122.19,8139.99,8078.48,8107.99,173.18
2018-05-18 10:00:00,8107.99,8152.99,8092.9,8137.73,218.06
2018-05-18 11:00:00,8137.73,8137.73,8049.22,8115.0,372.97
2018-05-18 12:00:00,8115.0,8143.72,8079.46,8107.0,484.39
2018-05-18 13:00:00,8107.0,8129.99,8062.12,8094.4,248.1
2018-05-18 14:00:00,8094.4,8106.76,8043.96,8080.01,162.35
2018-05-18 15:00:00,8080.01,8139.0,8063.1,8117.09,303.42
2018-05-18 16:00:00,8117.09,8152.04,8088.46,8126.99,290.69
2018-05-18 17:00:00,8126.99,8146.99,8094.43,8110.95,160.93
2018-05-18 18:00:00,8110.95,8232.14,8088.46,8215.39,369.4
2018-05-18 19:00:00,8215.39,8275.1,8191.14,8231.42,487.27
2018-05-18 20:00:00,8231.42,8256.12,8212.0,8240.13,93.35
2018-05-18 21:00:00,8240.13,8274.1,8224.5,8235.0,96.68
2018-05-18 22:00:00,8235.0,8255.8,8211.0,8219.9,72.14
2018-05-18 23:00:00,8219.9,8253.97,8211.01,8248.87,90.22
2018-05-19 00:00:00,8248.87,8261.09,8210.03,8213.5,168.52
2018-05-19 01:00:00,8213.5,8235.76,8158.27,8200.99,203.15
2018-05-19 02:00:00,8200.99,8227.0,8177.65,8200.0,71.42
2018-05-19 03:00:00,8200.0,8273.36,8179.41,8237.3,464.56
2018-05-19 04:00:00,8237.3,8264.21,8221.92,8228.13,57.0
2018-05-19 05:00:00,8228.13,8250.0,8217.32,8240.83,89.42
2018-05-19 06:00:00,8240.83,8250.86,8213.52,8214.9,49.47
2018-05-19 07:00:00,8214.9,8235.77,8141.08,8170.07,200.05
2018-05-19 08:00:00,8170.07,8232.12,8146.1,8229.87,254.37
2018-05-19 09:00:00,8229.87,8232.14,8186.03,8205.87,65.05
2018-05-19 10:00:00,8205.87,8252.72,8197.09,8252.56,118.19
2018-05-19 11:00:00,8252.56,8370.0,8231.21,8365.0,452.4
2018-05-19 12:00:00,8365.0,8395.0,8323.82,8348.65,181.03
2018-05-19 13:00:00,8348.65,8374.48,8296.0,8303.99,288.04
2018-05-19 14:00:00,8303.99,8331.0,8296.31,8310.48,145.78
2018-05-19 15:00:00,8310.48,8319.43,8282.65,8310.0,110.14
2018-05-19 16:00:00,8310.0,8323.4,8280.0,8289.87,55.48
2018-05-19 17:00:00,8289.87,8314.55,8273.36,8304.99,80.87
2018-05-19 18:00:00,8304.99,8330.62,8290.08,8301.35,67.01
2018-05-19 19:00:00,8301.35,8314.8,8277.93,8313.12,59.16
2018-05-19 20:00:00,8313.12,8323.99,8240.07,8240.07,121.26
2018-05-19 21:00:00,8240.07,8263.03,8191.14,8199.99,244.37
2018-05-19 22:00:00,8199.99,8247.78,8178.0,8226.98,156.87
2018-05-19 23:00:00,8226.98,8253.75,8193.7,8231.2,80.48
2018-05-20 00:00:00,8231.2,8237.89,8180.0,8198.89,139.32
2018-05-20 01:00:00,8198.89,8235.0,8170.71,8215.85,93.52
2018-05-20 02:00:00,8215.85,8279.99,8215.53,8279.99,200.23
2018-05-20 03:00:00,8279.99,8290.0,8240.02,8255.08,97.4
2018-05-20 04:00:00,8255.08,8278.71,8237.17,8270.4,68.08
2018-05-20 05:00:00,8270.4,8275.34,8237.17,8244.24,47.0
2018-05-20 06:00:00,8244.24,8279.31,8239.12,8239.12,36.65
2018-05-20 07:00:00,8239.12,8279.98,8227.79,8267.14,28.75
2018-05-20 08:00:00,8267.14,8294.04,8247.57,8282.27,182.85
2018-05-20 09:00:00,8282.27,8356.4,8274.24,8350.62,400.18
2018-05-20 10:00:00,8350.62,8374.94,8326.1,8336.6,288.1
2018-05-20 11:00:00,8336.6,8354.83,8320.61,8336.91,182.94
2018-05-20 12:00:00,8336.91,8360.45,8281.31,8311.21,777.81
2018-05-20 13:00:00,8311.21,8337.14,8269.85,8312.09,493.59
2018-05-20 14:00:00,8312.09,8351.97,8311.16,8345.19,118.63
2018-05-20 15:00:00,8345.19,8377.29,8336.11,8377.2,174.37
2018-05-20 16:00:00,8377.2,8549.0,8369.86,8481.11,901.75
2018-05-20 17:00:00,8481.11,8531.9,8471.51,8516.36,222.45
2018-05-20 18:00:00,8516.36,8551.79,8511.0,8524.0,113.8
2018-05-20 19:00:00,8524.0,8529.9,8476.66,8517.04,84.2
2018-05-20 20:00:00,8517.04,8590.0,8507.68,8558.5,261.44
2018-05-20 21:00:00,8558.5,8576.1,8509.24,8521.99,168.78
2018-05-20 22:00:00,8521.99,8549.89,8482.53,8484.93,111.07
2018-05-20 23:00:00,8484.93,8531.89,8484.93,8518.48,122.12
2018-05-21 00:00:00,8518.48,8550.0,8450.0,8488.99,267.32
2018-05-21 01:00:00,8488.99,8493.29,8434.47,8466.72,210.39
2018-05-21 02:00:00,8466.72,8522.98,8461.1,8492.55,211.36
2018-05-21 03:00:00,8492.55,8517.0,8481.0,8494.28,146.22
2018-05-21 04:00:00,8494.28,8537.29,8480.0,8510.95,93.39
2018-05-21 05:00:00,8510.95,8524.51,8488.1,8498.64,89.04
2018-05-21 06:00:00,8498.64,8589.1,8471.09,8551.1,307.59
2018-05-21 07:00:00,8551.1,8589.07,8509.2,8524.22,307.2
2018-05-21 08:00:00,8524.22,8536.92,8482.64,8510.11,164.24
2018-05-21 09:00:00,8510.11,8524.03,8469.0,8475.62,151.21
2018-05-21 10:00:00,8475.62,8497.8,8440.4,8476.58,399.77
2018-05-21 11:00:00,8476.58,8498.0,8440.52,8467.13,362.01
2018-05-21 12:00:00,8467.13,8513.5,8461.8,8499.84,260.85
2018-05-21 13:00:00,8499.84,8510.0,8480.0,8490.42,232.32
2018-05-21 14:00:00,8490.42,8494.7,8358.17,8407.09,1109.45
2018-05-21 15:00:00,8407.09,8427.29,8380.73,8409.42,348.5
2018-05-21 16:00:00,8409.42,8419.03,8370.0,8400.96,210.57
2018-05-21 17:00:00,8400.96,8415.47,8383.12,8383.14,274.92
2018-05-21 18:00:00,8383.14,8389.99,8320.0,8350.0,277.83
2018-05-21 19:00:00,8350.0,8397.57,8349.17,8373.01,99.57
2018-05-21 20:00:00,8373.01,8455.0,8357.11,8412.8,273.12
2018-05-21 21:00:00,8412.8,8429.66,8370.58,8385.57,129.47
2018-05-21 22:00:00,8385.57,8412.61,8367.21,8408.53,113.05
2018-05-21 23:00:00,8408.53,8424.0,8376.99,8391.76,87.6
2018-05-22 00:00:00,8391.76,8417.65,8335.6,8367.36,159.37
2018-05-22 01:00:00,8367.36,8369.7,8252.72,8280.24,433.28
2018-05-22 02:00:00,8280.24,8326.5,8264.49,8297.91,133.29
2018-05-22 03:00:00,8297.91,8336.65,8282.59,8333.99,200.57
2018-05-22 04:00:00,8333.99,8333.99,8271.09,8285.29,210.33
2018-05-22 05:00:00,8285.29,8314.32,8261.52,8280.0,206.4
2018-05-22 06:00:00,8280.0,8355.97,8280.0,8317.02,357.53
2018-05-22 07:00:00,8317.02,8333.49,8297.0,8320.16,107.43
2018-05-22 08:00:00,8320.16,8325.6,8290.0,8295.9,116.54
2018-05-22 09:00:00,8295.9,8296.01,8220.0,8245.47,479.07
2018-05-22 10:00:00,8245.47,8264.98,8230.45,8264.98,290.38
2018-05-22 11:00:00,8264.98,8271.31,8180.0,8200.0,812.96
2018-05-22 12:00:00,8200.0,8200.0,8119.38,8170.0,1542.87
2018-05-22 13:00:00,8170.0,8232.14,8170.0,8217.0,430.36
2018-05-22 14:00:00,8217.0,8246.0,8189.84,8231.63,312.54
2018-05-22 15:00:00,8231.63,8248.94,8210.76,8232.8,132.75
2018-05-22 16:00:00,8232.8,8259.95,8212.68,8225.38,333.64
2018-05-22 17:00:00,8225.38,8242.49,8200.0,8200.01,205.86
2018-05-22 18:00:00,8200.01,8232.04,8186.0,8219.98,120.33
2018-05-22 19:00:00,8219.98,8230.9,8161.77,8187.98,263.1
2018-05-22 20:00:00,8187.98,8205.0,8063.15,8100.32,457.64
2018-05-22 21:00:00,8100.32,8118.98,8050.01,8076.99,451.55
2018-05-22 22:00:00,8076.99,8103.07,7951.41,7964.73,962.22
2018-05-22 23:00:00,7964.73,8040.95,7964.73,7984.08,381.04
2018-05-23 00:00:00,7984.08,8032.01,7949.35,7949.35,386.95
2018-05-23 01:00:00,7949.35,7960.25,7861.32,7900.61,905.87
2018-05-23 02:00:00,7900.61,7920.0,7865.0,7895.5,453.48
2018-05-23 03:00:00,7895.5,7960.0,7886.48,7960.0,542.31
2018-05-23 04:00:00,7960.0,7960.0,7870.35,7900.0,476.48
2018-05-23 05:00:00,7900.0,7935.0,7885.2,7921.99,341.79
2018-05-23 06:00:00,7921.99,7960.99,7896.41,7943.07,654.23
2018-05-23 07:00:00,7943.07,7951.38,7811.62,7856.37,769.1
2018-05-23 08:00:00,7856.37,7888.92,7808.05,7848.3,719.94
2018-05-23 09:00:00,7848.3,7870.0,7808.0,7852.68,523.05
2018-05-23 10:00:00,7852.68,7909.75,7836.79,7847.1,409.37
2018-05-23 11:00:00,7847.1,7882.27,7801.02,7849.31,255.12
2018-05-23 12:00:00,7849.31,7949.27,7847.36,7911.83,551.86
2018-05-23 13:00:00,7911.83,7944.73,7883.0,7901.01,340.62
2018-05-23 14:00:00,7901.01,7916.48,7850.72,7887.0,488.69
2018-05-23 15:00:00,7887.0,7906.0,7676.27,7710.02,1120.73
2018-05-23 16:00:00,7710.02,7719.37,7553.6,7625.38,1946.82
2018-05-23 17:00:00,7625.38,7637.06,7435.49,7516.28,1809.02
2018-05-23 18:00:00,7516.28,7563.5,7450.1,7495.31,1667.13
2018-05-23 19:00:00,7495.31,7635.13,7495.31,7590.34,979.6
2018-05-23 20:00:00,7590.34,7649.0,7516.97,7596.24,870.92
2018-05-23 21:00:00,7596.24,7641.49,7561.72,7640.23,229.17
2018-05-23 22:00:00,7640.23,7653.56,7543.4,7562.1,371.65
2018-05-23 23:00:00,7562.1,7582.97,7468.31,7502.89,822.0
2018-05-24 00:00:00,7502.89,7613.19,7502.89,7584.1,325.18
2018-05-24 01:00:00,7584.1,7654.0,7573.92,7601.65,540.25
2018-05-24 02:00:00,7601.65,7631.44,7563.71,7584.02,256.6
2018-05-24 03:00:00,7584.02,7654.44,7573.34,7613.52,277.82
2018-05-24 04:00:00,7613.52,7733.99,7613.52,7733.99,525.96
2018-05-24 05:00:00,7733.99,7733.99,7656.9,7691.78,358.18
2018-05-24 06:00:00,7691.78,7709.12,7627.52,7650.22,270.15
2018-05-24 07:00:00,7650.22,7680.92,7526.94,7567.1,590.82
2018-05-24 08:00:00,7567.1,7571.62,7375.65,7411.24,1023.99
2018-05-24 09:00:00,7411.24,7426.0,7267.24,7373.51,848.47
2018-05-24 10:00:00,7373.51,7412.57,7296.98,7354.0,512.51
2018-05-24 11:00:00,7354.0,7410.73,7339.5,7375.56,552.58
2018-05-24 12:00:00,7375.56,7543.27,7284.14,7508.78,1028.52
2018-05-24 13:00:00,7508.78,7542.92,7472.81,7499.94,512.07
2018-05-24 14:00:00,7499.94,7575.0,7456.5,7508.0,745.34
2018-05-24 15:00:00,7508.0,7578.0,7490.16,7566.92,612.14
2018-05-24 16:00:00,7566.92,7567.93,7483.2,7518.99,461.19
2018-05-24 17:00:00,7518.99,7544.47,7450.01,7524.49,458.51
2018-05-24 18:00:00,7524.49,7608.51,7487.34,7586.42,444.61
2018-05-24 19:00:00,7586.42,7635.0,7562.12,7585.48,230.02
2018-05-24 20:00:00,7585.48,7585.48,7511.27,7550.0,321.09
